MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e-03,   -1.015922e-04,    7.648331e-05,    6.149349e-04,   -6.064202e-04,   -6.149349e-04,    6.064202e-04,    1.015922e-04,   -7.648331e-05,   -6.233750e-01,   -5.082298e-01,   -5.249235e-01,   -3.154816e-01,   -5.249234e-01,   -3.154816e-01,   -6.233750e-01,   -5.082299e-01,   -9.563080e-05,    7.278420e-05,    5.992080e-04,   -5.970030e-04,   -5.992080e-04,    5.970030e-04,    9.563080e-05,   -7.278420e-05,   -9.563080e-06,    7.278420e-06,    2.996040e-05,   -2.985015e-05,   -2.996040e-05,    2.985015e-05,    9.563080e-06,   -7.278420e-06,
         1,    1.000000e-02,   -2.813063e-04,    7.575092e-05,    1.928166e-03,   -1.827921e-03,   -1.928166e-03,    1.827921e-03,    2.813063e-04,   -7.575092e-05,   -4.006461e-01,    1.534325e-01,   -4.784183e-01,    2.287549e-01,   -4.784183e-01,    2.287549e-01,   -4.006461e-01,    1.534326e-01,   -2.704700e-04,    7.693130e-05,    1.883120e-03,   -1.849070e-03,   -1.883120e-03,    1.849070e-03,    2.704700e-04,   -7.693130e-05,   -2.704700e-05,    7.693130e-06,    9.415600e-05,   -9.245350e-05,   -9.415600e-05,    9.245350e-05,    2.704700e-05,   -7.693130e-06,
         1,    1.000000e-01,   -1.756847e-04,   -2.338326e-04,    5.711558e-03,   -6.199012e-03,   -5.711558e-03,    6.199012e-03,    1.756847e-04,    2.338326e-04,   -2.114512e-02,   -8.213252e-01,    9.247774e-02,    6.179118e-01,    9.247773e-02,    6.179118e-01,   -2.114503e-02,   -8.213252e-01,   -1.753140e-04,   -2.160850e-04,    5.738090e-03,   -6.396640e-03,   -5.738090e-03,    6.396640e-03,    1.753140e-04,    2.160850e-04,   -1.753140e-05,   -2.160850e-05,    2.869045e-04,   -3.198320e-04,   -2.869045e-04,    3.198320e-04,    1.753140e-05,    2.160850e-05,
         1,    1.000000e+00,    1.680359e-05,    1.996376e-05,    1.975550e-02,   -1.982862e-02,   -1.975550e-02,    1.982862e-02,   -1.680359e-05,   -1.996376e-05,   -9.434062e-04,   -2.962061e-02,    2.173967e-01,   -1.166882e-01,    2.173967e-01,   -1.166882e-01,   -9.444619e-04,   -2.961971e-02,    1.680200e-05,    1.990480e-05,    1.997260e-02,   -1.971360e-02,   -1.997260e-02,    1.971360e-02,   -1.680200e-05,   -1.990480e-05,    1.680200e-06,    1.990480e-06,    9.986300e-04,   -9.856800e-04,   -9.986300e-04,    9.856800e-04,   -1.680200e-06,   -1.990480e-06,
         1,    1.000000e+01,    2.510309e-05,   -2.206349e-05,    6.148982e-02,   -6.250947e-02,   -6.148982e-02,    6.250947e-02,   -2.510309e-05,    2.206349e-05,   -2.513121e-09,    2.203014e-09,    2.821821e-01,    5.286758e-01,    2.821821e-01,    5.286758e-01,    2.513121e-09,   -2.203014e-09,   -2.561040e-08,   -3.555770e-08,    6.236980e-02,   -6.420670e-02,   -6.236980e-02,    6.420670e-02,    2.561040e-08,    3.555770e-08,    9.999000e+03,    9.999000e+03,    3.118490e-03,   -3.210335e-03,   -3.118490e-03,    3.210335e-03,    9.999000e+03,    9.999000e+03,
         2,    1.000000e-03,   -9.327617e-05,    7.052437e-05,    6.159070e-04,   -6.038428e-04,   -5.211700e-04,    5.352953e-04,    7.834979e-05,   -5.927774e-05,   -1.734695e-01,   -6.043687e-02,   -3.190182e-01,   -1.447475e-01,    1.954716e-01,    7.729223e-02,    6.392949e-02,    1.295560e-01,   -9.168570e-05,    7.010070e-05,    6.062370e-04,   -5.995040e-04,   -5.263140e-04,    5.373720e-04,    7.885390e-05,   -6.005580e-05,   -9.168570e-06,    7.010070e-06,    3.031185e-05,   -2.997520e-05,   -2.631570e-05,    2.686860e-05,    7.885390e-06,   -6.005580e-06,
         2,    1.000000e-02,   -2.586202e-04,    7.492360e-05,    1.919251e-03,   -1.804245e-03,   -1.666988e-03,    1.737221e-03,    2.185485e-04,   -6.252463e-05,    3.935255e-02,    3.149681e-01,   -2.288288e-01,    2.206232e-01,    2.255904e-02,    1.110429e-01,    1.812121e-01,    2.392038e-01,   -2.596420e-04,    7.736020e-05,    1.897540e-03,   -1.824370e-03,   -1.668870e-03,    1.746920e-03,    2.225820e-04,   -6.405690e-05,   -2.596420e-05,    7.736020e-06,    9.487700e-05,   -9.121850e-05,   -8.344350e-05,    8.734600e-05,    2.225820e-05,   -6.405690e-06,
         2,    1.000000e-01,   -1.880398e-04,   -2.022966e-04,    5.617258e-03,   -6.204316e-03,   -5.382289e-03,    6.384380e-03,    1.513334e-04,    1.720320e-04,    8.751542e-02,    1.782490e-01,   -7.967163e-02,    4.286124e-01,   -1.189455e-02,    3.667786e-01,    1.009068e-01,    2.900606e-01,   -1.897000e-04,   -2.059680e-04,    5.594970e-03,   -6.340190e-03,   -5.379090e-03,    6.503650e-03,    1.528760e-04,    1.771710e-04,   -1.897000e-05,   -2.059680e-05,    2.797485e-04,   -3.170095e-04,   -2.689545e-04,    3.251825e-04,    1.528760e-05,    1.771710e-05,
         2,    1.000000e+00,    2.156649e-05,    2.139627e-05,    1.980011e-02,   -2.014257e-02,   -2.006026e-02,    2.048946e-02,   -1.602230e-05,   -1.644338e-05,   -5.529193e-02,   -5.543987e-02,    2.442438e-01,   -4.177978e-01,    3.009939e-02,   -7.837606e-01,    7.070846e-02,    9.941887e-02,    2.144790e-05,    2.127830e-05,    2.004490e-02,   -1.973040e-02,   -2.009050e-02,    1.971680e-02,   -1.613640e-05,   -1.660850e-05,    2.144790e-06,    2.127830e-06,    1.002245e-03,   -9.865200e-04,   -1.004525e-03,    9.858400e-04,   -1.613640e-06,   -1.660850e-06,
         2,    1.000000e+01,   -2.645563e-05,    2.169149e-06,    6.220224e-02,   -6.419159e-02,   -6.292657e-02,    6.444740e-02,    1.831827e-05,    8.459860e-06,    2.641852e-09,   -2.219441e-10,    5.357078e-02,    4.675688e-03,   -1.787967e-01,   -7.500781e-02,   -1.829011e-09,   -8.427647e-10,   -3.974550e-08,   -5.006970e-08,    6.236930e-02,   -6.420660e-02,   -6.236900e-02,    6.420660e-02,    2.999470e-08,    3.305630e-08,    9.999000e+03,    9.999000e+03,    3.118465e-03,   -3.210330e-03,   -3.118450e-03,    3.210330e-03,    9.999000e+03,    9.999000e+03,
