MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    1.000000e-03,   -4.710828e-05,    3.622791e-05,    5.683097e-04,   -6.155229e-04,   -5.687898e-04,    6.182167e-04,    5.285651e-05,   -4.308441e-05,   -1.095668e+00,    7.876784e-01,    8.656520e-01,    2.282753e-01,   -8.373873e-01,   -2.841901e-01,    1.218431e+00,   -8.672240e-01,   -9.401600e-05,    6.995000e-05,    6.053700e-04,   -6.057500e-04,   -6.046400e-04,    6.060500e-04,    1.050200e-04,   -8.021200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,    4.281200e-05,
         1,    1.000000e-02,   -1.412354e-04,    2.292024e-05,    1.913955e-03,   -2.002351e-03,   -1.917492e-03,    2.011829e-03,    1.631480e-04,   -4.163296e-05,   -9.275863e-01,    2.936228e-01,   -1.155812e-01,    7.248516e-01,    1.693529e-01,   -7.187507e-01,    1.002839e+00,   -3.495024e-01,   -2.660700e-04,    6.243600e-05,    1.898400e-03,   -1.904800e-03,   -1.894700e-03,    1.915100e-03,    2.981100e-04,   -8.866900e-05,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,    1.345800e-04,
         1,    1.000000e-01,   -5.089370e-05,   -2.091654e-04,    6.086330e-03,   -6.942372e-03,   -6.061417e-03,    7.083892e-03,    8.556406e-05,    1.224881e-04,   -2.866124e-01,   -2.605722e-01,   -8.256530e-01,   -1.150437e-01,    7.998517e-01,    1.066302e-01,    3.606457e-01,    2.364463e-01,   -1.810100e-04,   -3.274600e-04,    5.711500e-03,   -6.994600e-03,   -5.698300e-03,    7.132300e-03,    2.492900e-04,    2.298300e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,    4.539800e-04,
         1,    1.000000e+00,    8.032314e-05,   -1.197134e-03,    2.025539e-02,   -2.517603e-02,   -2.030084e-02,    2.697932e-02,    3.864166e-04,    7.587558e-04,    1.865477e-02,    1.592653e-03,    4.450119e-02,   -1.191985e-03,   -4.846421e-02,    4.643613e-03,    9.209562e-04,   -8.292030e-03,    1.111800e-04,   -1.194500e-03,    2.032900e-02,   -2.517800e-02,   -2.038100e-02,    2.698700e-02,    3.879400e-04,    7.450400e-04,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,    1.654100e-03,
         2,    1.000000e-03,   -4.549735e-05,    3.416670e-05,    5.636959e-04,   -6.131249e-04,   -5.250966e-04,    5.848496e-04,    4.931621e-05,   -3.723423e-05,   -1.235344e+00,    8.906691e-01,    9.466405e-01,    2.900821e-01,   -5.732968e-02,   -9.731585e-01,    1.154159e+00,   -8.327883e-01,   -9.513100e-05,    6.995200e-05,    6.017300e-04,   -6.014700e-04,   -5.274000e-04,    5.457500e-04,    9.568800e-05,   -7.069400e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,    4.017800e-05,
         2,    1.000000e-02,   -1.373711e-04,    1.585577e-05,    1.895733e-03,   -2.007414e-03,   -1.783880e-03,    1.990426e-03,    1.520666e-04,   -1.252893e-05,   -1.033473e+00,    3.179960e-01,   -1.310713e-01,    9.531612e-01,    9.108484e-01,   -1.209420e+00,    9.357114e-01,   -3.517252e-01,   -2.701000e-04,    5.669600e-05,    1.878900e-03,   -1.885000e-03,   -1.666900e-03,    1.835100e-03,    2.722400e-04,   -5.770100e-05,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,    1.284300e-04,
         2,    1.000000e-01,   -9.607481e-05,   -3.473158e-04,    5.951954e-03,   -7.259575e-03,   -5.880030e-03,    7.488903e-03,    1.031002e-04,    4.333152e-04,   -3.040419e-01,   -2.850160e-01,   -1.119193e+00,    6.284738e-02,    1.343131e+00,    1.238236e-01,    3.760269e-01,    1.468754e-01,   -2.348000e-04,   -4.773600e-04,    5.441300e-03,   -7.230900e-03,   -5.267200e-03,    7.545400e-03,    2.746700e-04,    5.003300e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,    4.562700e-04,
         2,    1.000000e+00,   -1.992679e-04,   -2.840166e-03,    1.995861e-02,   -2.903733e-02,   -1.982378e-02,    3.085550e-02,    3.462298e-04,    3.724030e-03,    3.433101e-02,    5.360571e-04,    4.627638e-02,   -1.646288e-02,   -8.058297e-02,    2.635563e-02,    9.122781e-03,   -1.150299e-02,   -1.374000e-04,   -2.839200e-03,    2.004200e-02,   -2.906700e-02,   -1.996900e-02,    3.090300e-02,    3.626700e-04,    3.703300e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,    1.802100e-03,
         3,    1.000000e-03,   -2.107045e-05,    1.106377e-05,    5.686650e-04,   -6.183378e-04,   -4.848188e-04,    5.500924e-04,    3.178509e-05,   -2.447022e-05,   -7.085632e-01,    4.948961e-01,    1.037021e+00,    3.206424e-01,    9.564816e-01,   -1.839101e+00,    7.040217e-01,   -5.097616e-01,   -4.769400e-05,    2.965900e-05,    6.076300e-04,   -6.062900e-04,   -4.488800e-04,    4.809900e-04,    5.823800e-05,   -4.362400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,    3.757400e-05,
         3,    1.000000e-02,   -6.151405e-05,   -3.589025e-05,    1.908114e-03,   -2.022379e-03,   -1.657488e-03,    1.933202e-03,    9.707092e-05,   -1.545565e-05,   -5.776066e-01,    1.126860e-01,   -1.349624e-01,    1.074524e+00,    1.816672e+00,   -1.753043e+00,    5.576093e-01,   -2.194945e-01,   -1.321900e-04,   -2.210200e-05,    1.891600e-03,   -1.890900e-03,   -1.435200e-03,    1.718700e-03,    1.653000e-04,   -4.231300e-05,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,    1.223600e-04,
