MT    36
    1    1     -13.000000     -13.000000
  5
0.001 -2.0435E-05  1.5553E-05  1.2804E-04 -1.2757E-04 -1.0357E-04  1.0319E-04  1.6530E-05 -1.2581E-05  8.1281E-06  8.1281E-06  8.1281E-06  8.1281E-06  8.1281E-06  8.1281E-06  8.1281E-06  8.1281E-06
 0.01 -5.7796E-05  1.6439E-05  4.0240E-04 -3.9513E-04 -3.2550E-04  3.1961E-04  4.6751E-05 -1.3298E-05  2.5361E-05  2.5361E-05  2.5361E-05  2.5361E-05  2.5361E-05  2.5361E-05  2.5361E-05  2.5361E-05
  0.1 -3.7463E-05 -4.6175E-05  1.2262E-03 -1.3669E-03 -9.9183E-04  1.1057E-03  3.0303E-05  3.7350E-05  8.2575E-05  8.2575E-05  8.2575E-05  8.2575E-05  8.2575E-05  8.2575E-05  8.2575E-05  8.2575E-05
    1  3.5904E-06  4.2534E-06  4.2679E-03 -4.2126E-03 -3.4523E-03  3.4075E-03 -2.9042E-06 -3.4406E-06  2.6967E-04  2.6967E-04  2.6967E-04  2.6967E-04  2.6967E-04  2.6967E-04  2.6967E-04  2.6967E-04
   10 -5.4727E-09 -7.5983E-09  1.3328E-02 -1.3720E-02 -1.0781E-02  1.1098E-02  4.4268E-09  6.1462E-09  8.6016E-04  8.6016E-04  8.6016E-04  8.6016E-04  8.6016E-04  8.6016E-04  8.6016E-04  8.6016E-04
    2    2     -13.000000      -9.000000
  5
0.001 -4.9061E-05  3.7511E-05  3.2439E-04 -3.2079E-04 -2.4770E-05  2.5290E-05  3.7110E-06 -2.8264E-06  6.3541E-06  6.3541E-06  6.3541E-06  6.3541E-06  6.3541E-06  6.3541E-06  6.3541E-06  6.3541E-06
 0.01 -1.3893E-04  4.1395E-05  1.0154E-03 -9.7621E-04 -7.8541E-05  8.2214E-05  1.0475E-05 -3.0147E-06  2.0009E-05  2.0009E-05  2.0009E-05  2.0009E-05  2.0009E-05  2.0009E-05  2.0009E-05  2.0009E-05
  0.1 -1.0151E-04 -1.1021E-04  2.9938E-03 -3.3926E-03 -2.5315E-04  3.0608E-04  7.1947E-06  8.3381E-06  6.7030E-05  6.7030E-05  6.7030E-05  6.7030E-05  6.7030E-05  6.7030E-05  6.7030E-05  6.7030E-05
    1  1.1477E-05  1.1386E-05  1.0726E-02 -1.0558E-02 -9.4550E-04  9.2792E-04 -7.5942E-07 -7.8163E-07  2.2326E-04  2.2326E-04  2.2326E-04  2.2326E-04  2.2326E-04  2.2326E-04  2.2326E-04  2.2326E-04
   10 -2.1268E-08 -2.6792E-08  3.3374E-02 -3.4357E-02 -2.9352E-03  3.0217E-03  1.4116E-09  1.5557E-09  7.1024E-04  7.1024E-04  7.1024E-04  7.1024E-04  7.1024E-04  7.1024E-04  7.1024E-04  7.1024E-04
    3    3     -13.000000      -5.000000
  5
0.001 -1.9218E-05  1.4715E-05  1.8825E-04 -1.8521E-04 -5.3518E-04  5.6394E-04  5.4107E-05 -4.1136E-05  2.2656E-05  2.2656E-05  2.2656E-05  2.2656E-05  2.2656E-05  2.2656E-05  2.2656E-05  2.2656E-05
 0.01 -5.4398E-05  1.6500E-05  5.8751E-04 -5.5662E-04 -1.7178E-03  1.9416E-03  1.5231E-04 -4.3199E-05  7.2423E-05  7.2423E-05  7.2423E-05  7.2423E-05  7.2423E-05  7.2423E-05  7.2423E-05  7.2423E-05
  0.1 -4.1855E-05 -4.3120E-05  1.6926E-03 -1.9430E-03 -5.9325E-03  7.7775E-03  1.0374E-04  1.2220E-04  2.5103E-04  2.5103E-04  2.5103E-04  2.5103E-04  2.5103E-04  2.5103E-04  2.5103E-04  2.5103E-04
    1  4.7906E-06  4.9217E-06  6.1992E-03 -6.0885E-03 -2.3773E-02  2.3201E-02 -9.9585E-06 -1.1580E-05  8.4946E-04  8.4946E-04  8.4946E-04  8.4946E-04  8.4946E-04  8.4946E-04  8.4946E-04  8.4946E-04
   10 -1.7502E-09 -7.6290E-09  1.9235E-02 -1.9802E-02 -7.3388E-02  7.5551E-02  3.5555E-09  1.3437E-08  2.6962E-03  2.6962E-03  2.6962E-03  2.6962E-03  2.6962E-03  2.6962E-03  2.6962E-03  2.6962E-03
    4    4     -13.000000       5.000000
  5
0.001  4.4772E-05 -3.4280E-05  4.3856E-04 -4.3148E-04 -1.4905E-04  1.5706E-04 -1.5069E-05  1.1456E-05  1.8249E-05  1.8249E-05  1.8249E-05  1.8249E-05  1.8249E-05  1.8249E-05  1.8249E-05  1.8249E-05
 0.01  1.2673E-04 -3.8439E-05  1.3687E-03 -1.2967E-03 -4.7840E-04  5.4073E-04 -4.2418E-05  1.2031E-05  5.8336E-05  5.8336E-05  5.8336E-05  5.8336E-05  5.8336E-05  5.8336E-05  5.8336E-05  5.8336E-05
  0.1  9.7508E-05  1.0045E-04  3.9432E-03 -4.5266E-03 -1.6522E-03  2.1660E-03 -2.8891E-05 -3.4032E-05  2.0220E-04  2.0220E-04  2.0220E-04  2.0220E-04  2.0220E-04  2.0220E-04  2.0220E-04  2.0220E-04
    1 -1.1160E-05 -1.1466E-05  1.4442E-02 -1.4184E-02 -6.6207E-03  6.4615E-03  2.7734E-06  3.2250E-06  6.8423E-04  6.8423E-04  6.8423E-04  6.8423E-04  6.8423E-04  6.8423E-04  6.8423E-04  6.8423E-04
   10  4.0773E-09  1.7773E-08  4.4812E-02 -4.6132E-02 -2.0438E-02  2.1041E-02 -9.9020E-10 -3.7423E-09  2.1717E-03  2.1717E-03  2.1717E-03  2.1717E-03  2.1717E-03  2.1717E-03  2.1717E-03  2.1717E-03
    5    5     -13.000000       9.000000
  5
0.001  2.9789E-04 -2.2776E-04  1.9697E-03 -1.9478E-03 -7.1225E-03  7.2722E-03 -1.0671E-03  8.1272E-04  2.6551E-04  2.6551E-04  2.6551E-04  2.6551E-04  2.6551E-04  2.6551E-04  2.6551E-04  2.6551E-04
 0.01  8.4358E-04 -2.5134E-04  6.1651E-03 -5.9274E-03 -2.2585E-02  2.3641E-02 -3.0122E-03  8.6687E-04  8.3609E-04  8.3609E-04  8.3609E-04  8.3609E-04  8.3609E-04  8.3609E-04  8.3609E-04  8.3609E-04
  0.1  6.1634E-04  6.6919E-04  1.8178E-02 -2.0599E-02 -7.2794E-02  8.8013E-02 -2.0688E-03 -2.3976E-03  2.8008E-03  2.8008E-03  2.8008E-03  2.8008E-03  2.8008E-03  2.8008E-03  2.8008E-03  2.8008E-03
    1 -6.9685E-05 -6.9134E-05  6.5126E-02 -6.4104E-02 -2.7188E-01  2.6682E-01  2.1837E-04  2.2476E-04  9.3289E-03  9.3289E-03  9.3289E-03  9.3289E-03  9.3289E-03  9.3289E-03  9.3289E-03  9.3289E-03
   10  1.2913E-07  1.6268E-07  2.0264E-01 -2.0861E-01 -8.4403E-01  8.6890E-01 -4.0591E-07 -4.4734E-07  2.9677E-02  2.9677E-02  2.9677E-02  2.9677E-02  2.9677E-02  2.9677E-02  2.9677E-02  2.9677E-02
    6    6     -13.000000      13.000000
  5
0.001  1.3877E-04 -1.0562E-04  8.6953E-04 -8.6633E-04 -1.2683E-03  1.2636E-03 -2.0241E-04  1.5406E-04  7.4120E-05  7.4120E-05  7.4120E-05  7.4120E-05  7.4120E-05  7.4120E-05  7.4120E-05  7.4120E-05
 0.01  3.9249E-04 -1.1164E-04  2.7327E-03 -2.6833E-03 -3.9858E-03  3.9137E-03 -5.7248E-04  1.6283E-04  2.3127E-04  2.3127E-04  2.3127E-04  2.3127E-04  2.3127E-04  2.3127E-04  2.3127E-04  2.3127E-04
  0.1  2.5440E-04  3.1357E-04  8.3267E-03 -9.2824E-03 -1.2145E-02  1.3539E-02 -3.7107E-04 -4.5737E-04  7.5300E-04  7.5300E-04  7.5300E-04  7.5300E-04  7.5300E-04  7.5300E-04  7.5300E-04  7.5300E-04
    1 -2.4382E-05 -2.8885E-05  2.8983E-02 -2.8607E-02 -4.2274E-02  4.1726E-02  3.5563E-05  4.2131E-05  2.4591E-03  2.4591E-03  2.4591E-03  2.4591E-03  2.4591E-03  2.4591E-03  2.4591E-03  2.4591E-03
   10  3.7164E-08  5.1599E-08  9.0507E-02 -9.3173E-02 -1.3201E-01  1.3590E-01 -5.4207E-08 -7.5261E-08  7.8438E-03  7.8438E-03  7.8438E-03  7.8438E-03  7.8438E-03  7.8438E-03  7.8438E-03  7.8438E-03
    7    7      -9.000000     -13.000000
  5
0.001 -1.0918E-05  8.3155E-06  7.2875E-05 -7.4406E-05 -1.4385E-04  1.4225E-04  2.1756E-05 -1.6634E-05  7.2578E-06  7.2578E-06  7.2578E-06  7.2578E-06  7.2578E-06  7.2578E-06  7.2578E-06  7.2578E-06
 0.01 -3.0819E-05  8.8695E-06  2.3108E-04 -2.4188E-04 -4.5026E-04  4.3290E-04  6.1609E-05 -1.8356E-05  2.2855E-05  2.2855E-05  2.2855E-05  2.2855E-05  2.2855E-05  2.2855E-05  2.2855E-05  2.2855E-05
  0.1 -2.1168E-05 -2.4532E-05  7.4481E-04 -9.0052E-04 -1.3276E-03  1.5044E-03  4.5013E-05  4.8873E-05  7.6563E-05  7.6563E-05  7.6563E-05  7.6563E-05  7.6563E-05  7.6563E-05  7.6563E-05  7.6563E-05
    1  2.2343E-06  2.2997E-06  2.7818E-03 -2.7301E-03 -4.7564E-03  4.6817E-03 -5.0893E-06 -5.0490E-06  2.5501E-04  2.5501E-04  2.5501E-04  2.5501E-04  2.5501E-04  2.5501E-04  2.5501E-04  2.5501E-04
